Teoria: STENTS,Fatto,Teoria: PROTESI VASCOLARI,Fatto,Exe,Fatto
Cabg,[],Calibro dei vasi,[],Fractional Flow reserve,[]
PTA,[],Pressione nei vasi,[],Rigidezza-Elasticità in stents,[]
Complicanze,[],Stenosi e Aneurismi,[],Sforzo di trazione stent,[]
Stent con farmaci,[],Classificazione delle protesi vascolari,[],Sforzo di trazione vaso,[]
Stent bioassorbibile,[],Biologiche,[],Compliance stents,[]
,[],Biologiche non trattate,[],Compliance protesi vascolari,[]
,[],Bio trattate,[],Numero di Womersley,[]
,[],Bio con supporti sintetici,[],Numero di Reynolds,[]
,[],Sintetiche,[],Arterial Compliance,[]
,[],Problema dell’occlusione per flessione,[],,[]
,[],Compliance missmatch,[],,[]
,[],Permeabilità,[],,[]
,[],Complicanze: resistenza meccanica,[],,[]
,[],Complicanze biologiche vs sintetiche,[],,[]
,[],,[],,[]
,[],,[],,[]
,[],,[],,[]
,[],,[],,[]
,[],,[],,[]
,[],,[],,[]
,[],,[],,[]
,[],,[],,[]
